RECORD	DAY	MONTH	YEAR	LOCATION	AGE	SEX	PERIOD	mgconsumed
233	10	12	97	0	1	1	0	0.18
238	10	12	97	0	1	1	0	0.31
241	10	12	97	0	1	1	0	0.12
257	26	12	97	0	1	1	0	0.34
262	9	1	98	0	1	1	0	0.4
263	9	1	98	0	1	1	0	0.24
272	9	1	98	0	1	1	0	0.57
273	23	1	98	0	1	1	0	0.17
277	23	1	98	0	1	1	0	0.37
281	23	1	98	0	1	1	0	0.15
282	23	1	98	0	1	1	0	0.1
290	23	2	98	0	1	1	1	0.31
295	23	2	98	0	1	1	1	0.3
297	23	2	98	0	1	1	1	0.15
300	23	2	98	0	1	1	1	0.07
301	23	2	98	0	1	1	1	0.46
308	27	2	98	0	1	1	1	0.04
309	27	2	98	1	1	1	1	0.47
310	27	2	98	1	1	1	1	0.13
311	27	2	98	0	1	1	1	0.14
313	27	2	98	0	1	1	1	0.2
314	27	2	98	0	1	1	1	0.36
319	9	3	98	0	1	1	1	0.36
322	9	3	98	0	1	1	1	0.23
329	9	3	98	0	1	1	1	0.26
52	2	4	97	1	1	2	1	0.19
54	2	4	97	1	1	2	1	0.24
55	2	4	97	1	1	2	1	0.25
56	2	4	97	1	1	2	1	0.4
58	2	4	97	1	1	2	1	0.24
60	2	4	97	1	1	2	1	0.14
61	2	4	97	1	1	2	1	0.07
63	16	5	97	0	1	2	2	0.02
64	16	5	97	1	1	2	2	0.45
71	16	5	97	0	1	2	2	0.39
72	16	5	97	0	1	2	2	0.32
73	16	5	97	0	1	2	2	0.34
75	16	5	97	0	1	2	2	0.21
76	17	6	97	0	1	2	2	0.11
80	17	6	97	0	1	2	2	0.24
83	17	6	97	0	1	2	2	0.07
85	17	6	97	1	1	2	2	0.19
87	17	6	97	0	1	2	2	0.29
88	17	6	97	0	1	2	2	0.06
91	30	6	97	0	1	2	2	0.34
94	30	6	97	0	1	2	2	0.16
95	30	6	97	0	1	2	2	0.2
96	30	6	97	0	1	2	2	0.09
97	30	6	97	0	1	2	2	0.18
98	30	6	97	0	1	2	2	0.24
99	30	6	97	0	1	2	2	0.18
102	15	7	97	0	1	2	2	0.24
103	15	7	97	0	1	2	2	0.1
104	15	7	97	0	1	2	2	0.16
105	15	7	97	0	1	2	2	0.05
106	15	7	97	0	1	2	2	0.12
107	15	7	97	0	1	2	2	0.17
108	15	7	97	0	1	2	2	0.23
110	15	7	97	0	1	2	2	0.08
113	15	7	97	0	1	2	2	0.1
115	15	7	97	0	1	2	2	0.17
116	15	7	97	0	1	2	2	0.17
117	15	7	97	0	1	2	2	0.24
119	15	7	97	0	1	2	2	0.11
120	15	7	97	0	1	2	2	0.21
121	30	7	97	0	1	2	2	0.27
122	30	7	97	0	1	2	2	0.12
123	30	7	97	0	1	2	2	0.23
134	12	9	97	0	1	2	0	0.12
136	12	9	97	0	1	2	0	0.12
137	12	9	97	0	1	2	0	0.09
138	12	9	97	0	1	2	0	0.08
139	12	9	97	0	1	2	0	0.17
140	12	9	97	0	1	2	0	0.18
148	12	9	97	0	1	2	0	1.07
149	26	9	97	0	1	2	0	0.03
153	26	9	97	0	1	2	0	0.21
161	26	9	97	0	1	2	0	0.07
164	26	9	97	0	1	2	0	0.07
165	26	9	97	0	1	2	0	0.13
166	26	9	97	0	1	2	0	0.07
168	13	10	97	0	1	2	0	0.06
169	13	10	97	0	1	2	0	0.55
173	13	10	97	0	1	2	0	0.06
175	13	10	97	0	1	2	0	0.52
178	13	10	97	0	1	2	0	0.24
179	13	10	97	0	1	2	0	0.14
181	13	10	97	0	1	2	0	0.11
183	13	10	97	0	1	2	0	0.05
184	13	10	97	0	1	2	0	0.04
185	13	10	97	0	1	2	0	0.18
191	27	10	97	0	1	2	0	0.11
194	27	10	97	0	1	2	0	0.38
195	27	10	97	0	1	2	0	0.04
196	11	11	97	0	1	2	0	0.42
199	11	11	97	0	1	2	0	0.37
200	11	11	97	0	1	2	0	0.06
201	11	11	97	0	1	2	0	0.27
205	11	11	97	0	1	2	0	0.31
206	11	11	97	0	1	2	0	0.46
209	11	11	97	0	1	2	0	0.4
210	11	11	97	0	1	2	0	0.51
213	26	11	97	0	1	2	0	0.93
229	10	12	97	0	1	2	0	0.41
231	10	12	97	0	1	2	0	0.62
232	10	12	97	0	1	2	0	0.32
234	10	12	97	0	1	2	0	0.27
235	10	12	97	0	1	2	0	0.25
236	10	12	97	0	1	2	0	0.26
239	10	12	97	0	1	2	0	0.38
240	10	12	97	0	1	2	0	0.32
244	26	12	97	0	1	2	0	0.12
247	26	12	97	0	1	2	0	0.2
249	26	12	97	0	1	2	0	0.07
250	26	12	97	0	1	2	0	0.18
254	26	12	97	0	1	2	0	0.15
256	26	12	97	0	1	2	0	0.05
259	26	12	97	0	1	2	0	0.03
260	9	1	98	0	1	2	0	0.29
261	9	1	98	0	1	2	0	0.04
264	9	1	98	0	1	2	0	0.1
265	9	1	98	0	1	2	0	0.53
266	9	1	98	0	1	2	0	0.47
267	9	1	98	0	1	2	0	0.61
268	9	1	98	0	1	2	0	0.33
270	9	1	98	0	1	2	0	0.36
274	23	1	98	0	1	2	0	0.35
275	23	1	98	0	1	2	0	0.12
278	23	1	98	0	1	2	0	0.05
280	23	1	98	0	1	2	0	0.16
284	23	1	98	0	1	2	0	0.05
285	23	1	98	0	1	2	0	0.13
286	23	1	98	0	1	2	0	0.34
287	23	2	98	0	1	2	1	0.25
288	23	2	98	0	1	2	1	0.31
291	23	2	98	0	1	2	1	0.35
292	23	2	98	0	1	2	1	0.33
293	23	2	98	0	1	2	1	0.28
294	23	2	98	0	1	2	1	0.08
296	23	2	98	0	1	2	1	0.34
299	23	2	98	0	1	2	1	0.4
304	23	2	98	0	1	2	1	0.16
306	23	2	98	0	1	2	1	0.38
307	23	2	98	0	1	2	1	0.2
315	27	2	98	0	1	2	1	0.13
316	27	2	98	0	1	2	1	0.31
320	9	3	98	0	1	2	1	0.44
321	9	3	98	0	1	2	1	0.2
324	9	3	98	0	1	2	1	0.32
325	9	3	98	0	1	2	1	0.32
326	9	3	98	0	1	2	1	0.4
327	9	3	98	1	1	2	1	0.37
330	9	3	98	0	1	2	1	0.49
